,COMID,ElevCat,LAT,LONG,Precip8110Ws,region_vpu,SAMPLEID,Tmean8110Ws,WsAreaSqKm
64,10023952,960.5019089,37.20040894,-113.3416367,454.6324906,CO_15,1BE590B7-9293-454B-8A41-DB76DFF8A154,10.26691016,3502.2411
65,10024268,905.9665167,37.17168808,-113.3945236,445.1999691,CO_15,7C378718-79A5-4094-B44B-D698B9E489CA,10.65562548,3850.0191
66,10024984,2273.266272,37.3939743,-113.0240173,667.4268794,CO_15,1A17BD73-3187-41DC-8B98-E706366839FD,5.86216113,35.8551
67,10025082,1403.754153,37.25667953,-113.1455612,400.1583881,CO_15,7E968E89-201C-4D44-B1A1-53018F154B2F,11.9478982,76.1643
68,10025104,1109.240657,37.21289063,-113.7768631,475.8653919,CO_15,17CA870D-1BF5-4DBD-800A-7202E6BD74DB,11.02671543,857.7648
69,10025758,2038.032763,37.33877182,-112.8453827,458.1741541,CO_15,810C4A2D-07EF-4EB0-B968-030C462E9738,7.790907469,60.5592
70,10402823,2248.174207,38.30725479,-113.8334732,487.7105348,GB_16,F30F608A-93D4-466C-8385-3A04B0D58A5C,8.341117112,1.0782
71,10682344,2347.257749,39.89413071,-113.8132019,509.7525967,GB_16,6F4D036A-4F13-4594-A83F-65EDDF2EA55D ,6.170488503,22.41
72,10682632,2409.859385,39.79557037,-113.8888626,521.3641801,GB_16,D33A133F-E845-42DF-A220-BBEB7B9FC325,4.85483957,22.563
73,10682632,2409.859385,39.77959061,-113.8664093,521.3641801,GB_16,E3827935-A616-4757-BD30-1A4579B05EFC,4.85483957,22.563
74,10683178,2417.423784,39.7437439,-113.8859482,467.6042499,GB_16,DCA9B678-D298-4B3A-AA72-217B3AEA2275 ,5.651057137,32.6052
75,10816582,2171.327803,37.975548,-112.54551,500.2562263,GB_16,B913E61E-1C94-4BB5-ADCF-AB3C489E9E24,5.855550828,49.3146
77,10816610,2249.705201,37.972124,-112.551123,506.0082456,GB_16,CA4E6CF4-912B-44FE-85BB-AA4393BCEEEB,5.827176769,41.445
79,10817060,2082.818202,37.86935043,-112.4726944,493.9642891,GB_16,AE7C14EA-32E9-4776-BC5D-28447428EE3A,5.799503619,47.7342
80,14598219,2281.435148,37.59781265,-113.082901,611.0971423,GB_16,AD305A3C-F851-4E14-9432-5BF512C76C3F,6.908661784,16.4556
