SAMPLE,EVI_MAX_AVE,TMAXPT,TMAX_AVE,TMEAN_AVE,TMIN_AVE,RH_AVE,TMEANPT,MEANP_AVE,MAXP_AVE,MAXWD_AVE,FST32F_AVE,ELEV_MIN,ELEV_MEAN,DD_LAT_Y,SQ_KM
173550,2594.99292,347,306.8319702,112.2232361,-47.50614166,44.77641678,137,522.633606,81.0292511,7.375669479,280.8135986,1249.258301,1756.807603,37.4022825,203.3967235
173551,2530.242432,366,298.8523865,105.9614105,-51.37228394,47.94765091,152,468.0329895,69.55117035,7.230089664,284.5533752,1011.644653,1798.724041,37.2128855,867.4617074
173552,2786.257324,375,299.4895935,97.73661041,-68.2946701,52.38434219,159,448.2534485,62.03901672,6.962320328,283.0134583,873.1387329,1885.917389,37.2004045,3543.428072
173553,4521.58252,275,241.4409485,53.47976685,-95.12567902,55.94872665,74,638.9442749,93.07263947,8.834305763,274.1116333,2091.58667,2569.603771,37.3939684,38.41152328
173554,3254.59375,317,299.9960632,110.2364426,-43.92388535,45.99999619,119,561.2891846,90.32550049,7.544740677,282.8559875,1577.75,1873.651198,37.4178885,15.13298661
173555,2136.454346,394,322.6531677,118.8995438,-50.26939774,50.23094559,170,369.8081055,51.95980453,6.43017292,291.8110657,736.307373,1630.511043,37.0191835,10307.30652
173556,1480.277222,384,384,162.9411774,-26.99999809,49.7651062,163,239.88237,33,5,299.8347473,880.1310425,909.768175,37.1716825,0.430911131
173557,3137.89624,302,267.249115,59.56707001,-90.5814209,51.95843124,77,472.9335327,57.72712326,8.58257103,255.2666931,1569.383789,1979.369989,41.971891,50.03812436
173558,2162.799805,280,273.7685547,40.1280632,-143.5623932,49.76834488,40,402.2429504,43.48393631,7,243.7874908,1950.524658,2073.463946,41.7971518,12.18975794
173559,3252.070557,270,261.039856,38.60531616,-137.5237122,51.83832932,36,603.7487793,65.94853973,8.634719849,246.9626923,2010.077026,2268.213961,41.5971838,37.5903561
173560,2314.683838,275,270.8794861,40.19180679,-139.8583679,48.75684357,40,448.9859314,48.07753372,7,248.3249664,2002.805542,2103.191401,41.7796828,6.237383635
173561,2584.186523,305,282.8473511,73.83132172,-80.94190216,51.03178024,86,529.460144,64.77866364,8.147531509,274.530426,1913.929199,2222.483057,39.9328081,6.004973016
173562,2886.07373,281,274.3347168,67.81111908,-82.12963867,52,72,625.4135742,79.24226379,9.031002045,271.6686096,2031.134522,2228.954297,39.8878751,7.153219156
173563,3573.52002,263,251.9384766,41.90100479,-121.3917084,52.54208755,34,704.1151733,79.57429504,9.516044617,245.7346802,2052.984131,2344.754442,41.5773958,50.51882366
173564,2688.569092,284,247.516861,42.03730011,-105.1166458,45,69,622.4230347,74.29110718,8.859412193,251.5386505,1816.970093,2224.645008,41.789359,10.98196397
173565,3135.675781,317,266.5888367,71.3128891,-74.04281616,41.20028305,103,507.5699463,64.01802826,7.651817799,262.6464844,1801.349243,2558.635028,39.8949772,22.2308393
173566,3229.971191,268,254.2921295,40.58421707,-126.955307,51.86044693,35,659.5650024,73.19239044,9.097902298,246.3556824,2010.290894,2296.699272,41.5851868,74.16724424
173567,3236.602051,264,254.2166138,40.6220665,-126.7759781,51.87303925,35,660.7001343,73.34626007,9.105335236,246.3488312,2019.246338,2298.251998,41.5825078,73.6684374
173568,3370.19751,269,259.9859314,39.03840256,-135.0232697,51.95280838,36,626.8264771,69.22663116,8.742008209,246.7900543,2034.136475,2302.430506,41.6046638,23.47060716
173569,3407.948975,269,259.6536865,39.15887451,-134.1899719,51.98981857,36,632.598877,70.01890564,8.770831108,246.7430267,2041.035156,2310.678068,41.6065848,22.59298949
173570,2837.642822,274,268.4277649,41.14665222,-139.324234,51.04823303,39,515.717041,54.7287674,7.446744919,248.5250549,1986.044922,2168.753001,41.7160688,10.42032279
173571,2779.436768,274,268.8052063,41.63759613,-138.8105469,50.75096893,39,510.897644,53.77088165,7.306024075,249.1972351,2001.363159,2153.086204,41.7149988,9.193676941
173572,2835.492676,275,268.4153748,41.15260315,-139.2983856,51.04642868,38,515.9244995,54.74716187,7.447589397,248.5316925,1987.421021,2169.086949,41.7021338,10.40065944
173573,3505.469482,263,245.2964478,40.10324478,-121.6141891,52.63996887,38,719.4334106,80.60312653,9.636265755,246.6824799,2063.336426,2371.535593,41.5034428,28.69494295
173574,2843.500244,303,281.0666199,62.08926773,-93.9581604,45,71,354.6081543,46.06544495,7,251.4998169,1827.174561,2046.670774,41.701725,3.235753044
173575,2760.407227,295,282.4356689,66.69961548,-90.0515976,45.00000381,73,399.5308838,48.66527557,6.829553604,251.3283691,1740.876465,2005.249591,41.750835,12.60547422
173576,2763.755859,293,282.2165833,66.57819366,-90.03084564,45,73,400.6495972,48.75858688,6.845451832,251.3535309,1773.118774,2008.547109,41.754287,12.36700878
173577,2817.120361,298,276.7980347,62.25576401,-91.57279205,44.92466736,71,413.7705078,50.26128387,7.527655125,252.4427643,1765.035523,2033.086456,41.73214,25.12362798
173578,2115.056152,357,304.3164978,92.134552,-96.56269073,53.96593475,133,354.5768738,46.88421631,7.859242439,272.5829468,1204.954834,2017.909982,37.1635933,59671.93986
173579,1781.185913,350,289.3522644,76.29566956,-105.3376999,49.94242859,117,288.8971558,33.4473381,6.701420784,267.7557678,1378.569458,2056.807023,38.5242222,3156.48622
173580,1612.252075,311,307.7454224,98.15621948,-85.20986938,50.23778152,101,262.1234741,37.03779221,7,272.9080811,1679.978272,1908.399848,37.8220983,17.95447927
173581,3271.76416,354,273.4318848,68.19164276,-110.9471664,51.67911148,118,541.1230469,62.26404953,9.312951088,262.7223511,1284.526611,2343.985597,38.795187,11816.08029
173582,3254.75415,361,274.0382385,68.60939026,-110.7095032,51.67338562,119,538.8215332,62.04437637,9.28705883,262.9070129,1269.71521,2336.502192,38.823286,11936.61104
