SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
5989260,UT,38.05295,-111.45496,3276941,3169.987888,1326.695656,11.23667575,22.2561
5994002,UT,37.789099,-111.461476,3277837,1733.807737,660.632367,1.507500735,294.8679
5994042,UT,37.805238,-111.512616,3277783,1882.920718,630.0756632,4.131776039,128.5497
EPA01-155,UT,42.2612,-116.868,23315892,1382.176293,1318.144076,2.077675075,56.9304
EPA01-157,UT,42.3423,-115.645,23284291,1344.005474,877.9964259,2.069998064,48.0141
EPA01-225,UT,38.5305,-110.905,4895257,1423.831601,1264.904331,5.037151857,11.9277
EPA01-227,UT,37.7972,-111.413,3277833,1749.17931,558.3292394,6.954598618,146.5974
EPA01-228,UT,38.0044,-111.464,3276997,2691.752019,1539.203508,12.38315962,22.4361
EPA01-229,UT,38.1027,-111.342,4901115,3070.408598,1502.157583,10.72560554,5.4972
EPA01-232,UT,37.797,-109.513,1399314,2718.075843,762.3535675,0.33808751,56.9664
EPA01-234,UT,38.6834,-109.355,3378687,1760.183226,1398.619581,5.832008403,6.3126
EPA01-236,UT,40.5988,-111.093,10374230,2409.870996,652.8533369,4.73872679,36.324
EPA01-237,UT,40.8886,-110.536,3199240,2961.578115,1177.09373,1.456492009,14.7573
EPA01-403,UT,37.3784,-113.447,10023092,2249.861878,1006.842629,2.038943931,19.2591
EPA01-407,UT,38.2154,-112.534,1215381,2181.731181,1126.654261,14.33908053,120.9321
EPA01-408,UT,38.2822,-112.446,1215175,2806.383691,863.2843399,14.71988611,135.2079
EPA01-409,UT,38.3382,-112.541,1214885,2280.017186,1689.087224,8.001896628,96.0921
EPA01-410,UT,38.8685,-112.294,1203470,2225.348961,499.438924,10.68364171,40.6143
EPA01-412,UT,41.288,-111.561,10274220,1971.420875,843.2660386,13.38656762,46.9458
EPA01-413,UT,40.8002,-111.771,10389446,1700.323318,870.2055476,4.259698803,19.0827
EPA01-414,UT,41.8784,-111.563,664174,2000.37522,926.5721014,2.508137372,62.0577
EPA01-415,UT,41.7591,-111.691,664414,1877.536998,1208.313261,4.312358392,42.2946
EPA01-416,UT,41.7148,-111.841,664510,1391.872725,1217.775163,2.671596791,48.4065
EPA01-417,UT,41.9749,-111.729,4564426,1981.443027,1482.144715,2.865088324,69.3216
EPA02-001,UT,39.8589,-113.795,10683128,2000.91989,1117.842706,1.00608915,383.4108
EPA02-002,UT,39.8156,-113.817,10682714,1650.831206,1125.802043,10.87120473,5.4864
EPA02-003,UT,39.7471,-113.896,10683178,2417.423784,1262.64508,11.0450523,13.9131
