SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
HAWK-404,Cal,39.06299973,-120.2679977,14992727,2228.44,1444.5,6.44,6.9093
HAWK-405,Cal,40.49039841,-121.0849991,20294477,1890.46,1103.06,6.18,58.6584
HAWK-406,Cal,40.54639816,-121.1309967,20291239,1932.62,1147.63,6.21,53.4555
HAWK-407,Cal,38.81370163,-120.2259979,14983378,2239.06,1327.23,6.23,17.3331
HAWK-409,Cal,38.87239838,-120.7429962,14981580,823.09,1280.87,14.18,9.612
HAWK-41,Cal,48.83459854,-116.8860016,22988857,1065.75,1372.24,4.41,28.3878
HAWK-410,Cal,40.45080185,-121.3669968,2772588,1891.33,2174.09,6.35,46.9215
HAWK-411,Cal,40.05020142,-120.3690033,8027050,1810.26,622.78,6.84,23.5143
HAWK-412,Cal,39.64279938,-120.9229965,8057997,1503.43,1892.29,9.13,62.8605
HAWK-413,Cal,39.85829926,-120.8669968,8039333,1353.57,801.77,7.99,2267.0334
HAWK-414,Cal,40.53079987,-121.552002,2764526,2053,1965.98,5.54,19.6704
HAWK-415,Cal,40.47909927,-121.5950012,2765948,2129.86,1625.23,6.29,12.4191
HAWK-416,Cal,40.10020065,-121.6689987,8020764,1071.42,1539.2,12.38,22.4361
HAWK-417,Cal,39.13800049,-120.4749985,14992341,1787.52,1757.76,8.15,24.3954
HAWK-418,Cal,39.1794014,-120.7269974,14992103,986.16,1729.52,8.67,334.692
HAWK-419,Cal,38.51139832,-120.3359985,17053262,1485.92,1262.64,11.04,13.9131
HAWK-42,Cal,47.04219818,-116.7180023,23460319,1110.88,973.61,6.78,11.8764
HAWK-420,Cal,40.46080017,-121.4629974,2772562,2206.36,2694.08,5.74,13.6323
HAWK-421,Cal,40.49869919,-121.4280014,7954274,2098.17,2240.15,6.16,2.0367
HAWK-422,Cal,40.53969955,-121.4919968,7952774,1920.71,1486.24,6.5,40.6053
HAWK-423,Cal,39.37789917,-122.6539993,7994631,564.27,1379.42,10.79,82.6416
HAWK-424,Cal,39.39559937,-122.8619995,8308598,955.32,1482.84,12.25,6.9696
HAWK-425,Cal,39.42959976,-122.8440018,8308468,1057.99,1514.97,12.03,7.4358
HAWK-426,Cal,39.98870087,-123.0500031,8294601,1383.7,1992.54,9.29,30.0762
HAWK-427,Cal,37.42490005,-119.5950012,17099749,1699.15,1125.8,10.87,5.4864
HAWK-429,Cal,37.51279831,-119.4240036,17113025,2352.16,1276.73,5.88,16.1757
HAWK-43,Cal,46.27180099,-116.6949997,23607630,1120.63,661.84,7.17,86.427
HAWK-430,Cal,37.52410126,-119.4639969,21610533,2488.75,1324.92,6.14,11.7405
HAWK-431,Cal,37.57770157,-119.6790009,21610265,1703.16,1120.34,9.32,38.5587
HAWK-432,Cal,37.6894989,-119.7040024,21609789,1872.09,1055.02,9.06,11.8521
HAWK-433,Cal,37.62120056,-119.677002,21610105,1937.47,1079.45,9.79,6.2118
HAWK-434,Cal,36.64870071,-118.8000031,14917715,2337.02,1299.03,5.77,17.3196
HAWK-435,Cal,36.54489899,-118.8949966,14917927,885.53,915.4,12.43,49.5675
HAWK-437,Cal,35.95299911,-118.4150009,14971713,2089.43,784.08,7.38,17.0901
HAWK-439,Cal,35.48059845,-118.6800003,14946858,1477.66,629.92,11.82,23.1948
HAWK-44,Cal,46.02030182,-115.6019974,23582089,1385.36,1121.69,5.74,22.8717
HAWK-440,Cal,38.30059814,-119.9339981,346855,1982.81,1440.19,6.99,12.0456
HAWK-443,Cal,38.42010117,-119.75,346279,2389.69,1510.94,4.24,20.6442
HAWK-446,Cal,38.49399948,-119.8929977,17059032,2568.52,1637.23,4.27,2.5632
HAWK-447,Cal,38.25559998,-119.737999,347541,2422.21,1586.13,3.2,41.1822
HAWK-448,Cal,36.54740143,-118.8980026,14917925,764.56,998.56,10.55,231.489
HAWK-449,Cal,36.34989929,-118.75,14922771,1492.59,1035.02,6.89,74.5542
HAWK-45,Cal,45.77880096,-115.2180023,23598045,1560.06,991.61,4.51,10.1853
HAWK-450,Cal,36.52000046,-118.7600021,14918241,1190.5,1055.58,6.74,228.4956
HAWK-452,Cal,36.78929901,-118.5510025,22058885,1870.4,964.3,2.08,353.1447
HAWK-454,Cal,37.5381012,-119.6169968,21610453,1520.94,1336.61,5.85,180.9171
HAWK-455,Cal,37.75989914,-119.5289993,21609379,1887.26,1309.66,4.76,70.8651
HAWK-456,Cal,37.8091011,-119.8550034,17081909,1456.87,1134.37,9.06,123.0579
HAWK-457,Cal,37.88499832,-119.3850021,17081739,2643.62,1114.99,1.66,239.3604
HAWK-458,Cal,37.85369873,-119.5739975,21609171,2431.96,1447.78,4,36.657
HAWK-459,Cal,37.87810135,-119.2509995,17082155,3031.17,1183.79,1.19,27.0288
HAWK-461,Cal,37.51100159,-119.2009964,17113015,1951.01,1089.54,4.42,650.9844
HAWK-462,Cal,37.73920059,-119.0500031,20272655,2750.91,760.18,3.77,14.7231
HAWK-463,Cal,37.70650101,-119.0449982,20272509,2662.46,844.18,3.51,17.2215
HAWK-464,Cal,37.55049896,-118.8720016,20274287,3063.84,1177.09,1.45,14.7573
HAWK-465,Cal,37.74100113,-118.7600021,20275047,2540.19,493.64,5.3,8.1576
HAWK-466,Cal,37.55479813,-118.1709976,19858464,3065.73,532.42,0.35,26.811
HAWK-468,Cal,36.71820068,-118.2659988,20267041,1701.13,696.85,5.13,44.0424
HAWK-469,Cal,35.97869873,-118.487999,14971663,1381.38,810.2,5.01,2031.2604
HAWK-47,Cal,42.59170151,-116.9779968,23350483,1550.41,593.33,6.86,256.4775
HAWK-471,Cal,34.16350174,-116.8330002,22559686,2427.36,1036.29,6.3,18.4869
HAWK-472,Cal,34.19020081,-117.1809998,22555028,906.05,788.61,14.66,11.466
HAWK-473,Cal,34.18389893,-117.6259995,22555088,1071.19,1073.48,12.28,17.793
HAWK-475,Cal,34.24950027,-117.5179977,22557786,1220.4,1131.29,11.94,29.6172
HAWK-476,Cal,33.86489868,-116.6869965,22591881,1091.37,538.44,11.79,20.1672
HAWK-477,Cal,34.06430054,-116.8199997,22590047,2458.55,1064.75,7.01,7.5186
HAWK-478,Cal,34.26610184,-117.7460022,22524611,1015.09,846.35,11.51,133.7634
HAWK-479,Cal,34.23070145,-117.7490005,22524653,932.29,902.74,13.45,48.5613
HAWK-48,Cal,42.26119995,-116.8679962,23315892,1382.17,399.15,6.82,5441.7276
HAWK-480,Cal,34.24290085,-117.947998,22522825,769.12,889.35,14.83,118.9305
HAWK-481,Cal,34.27149963,-117.8909988,22522723,806.65,899.48,14.32,17.9001
HAWK-482,Cal,34.2521019,-117.8830032,22522795,636.62,853.21,13.83,69.3729
HAWK-483,Cal,34.53879929,-119.1600037,17568111,1135.7,802.81,13.77,23.6736
HAWK-484,Cal,34.67440033,-119.2959976,17637988,1334.13,707.1,12.53,12.5505
HAWK-485,Cal,34.69459915,-118.9199982,17569207,1565.58,587.34,10.93,402.2784
HAWK-486,Cal,34.51750183,-119.3779984,17585756,677.83,1058.6,14.39,32.1291
HAWK-487,Cal,35.93619919,-121.4660034,8190141,213.46,978.57,14.29,13.2381
HAWK-488,Cal,36.32559967,-121.7890015,8188811,475.63,1179.9,14.19,36.315
HAWK-489,Cal,36.21310043,-121.5339966,8203489,496.77,846.3,14.77,8.8155
HAWK-490,Cal,34.74610138,-119.7040024,17626441,1037.98,721.92,13.01,64.9458
HAWK-492,Cal,41.84590149,-124.0289993,22226750,424.97,2557.02,12.12,2.5191
HAWK-493,Cal,41.86349869,-123.8550034,22227592,494.01,2484.21,11.54,9.0729
HAWK-495,Cal,41.64189911,-123.8059998,22228040,462.98,3294.6,10.85,61.6833
HAWK-499,Cal,41.61389923,-123.2809982,4439616,1345.29,2076.57,8.71,37.5273
HAWK-5,Cal,36.76679993,-105.3929977,17863302,3160.57,713.6,3.05,31.6476
HAWK-50,Cal,42.34230042,-115.6449966,23284291,1344,437.73,6.21,2678.5503
HAWK-502,Cal,40.03329849,-124.0220032,2545549,587.63,2414.63,12.82,16.5834
HAWK-503,Cal,41.73659897,-123.5479965,4439208,727.56,2171.09,10.6,40.7151
HAWK-504,Cal,41.73479843,-123.5469971,4439224,671.99,2882.5,10.11,159.5943
