SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
PIBO:1916,PIBO,45.447698,-110.39283,4368186,2373.182507,491.0018337,4.884389988,147.3039
PIBO:1920,PIBO,45.530628,-110.36848,4365082,2113.474979,469.6835282,4.499984272,3.3219
PIBO:1926,PIBO,44.934933,-111.10181,3858045,2319.505839,1865.498763,10.06075003,9.6435
PIBO:1946,PIBO,46.910764,-111.84557,3022332,1601.234979,2309.294801,8.056359594,9.9801
PIBO:1954,PIBO,47.709172,-112.88692,12394890,1985.579734,1380.794153,9.490875804,1.3554
PIBO:1956,PIBO,47.571936,-113.05466,12394262,1776.123851,2052.768317,11.15657956,2.9889
PIBO:1957,PIBO,47.866149,-112.94332,12394790,1812.176445,2500.8698,5.887770254,18.7812
PIBO:1958,PIBO,47.958005,-112.81736,12744273,2008.005946,2537.972183,5.906412064,36.2385
PIBO:1991,PIBO,45.081278,-109.47004,4264854,2558.292949,900.2802013,5.905969461,926.1657
PIBO:1992,PIBO,45.146686,-109.99499,7186624,2466.401959,1398.619581,5.832008403,6.3126
PIBO:2017,PIBO,44.717889,-114.51855,23532851,2016.842084,1675.586192,2.004022758,20.9286
PIBO:2116,PIBO,45.662167,-115.792444,23597495,1849.228619,398.376389,7.219975269,51.7599
PIBO:2128,PIBO,45.709444,-115.802194,23599809,1816.957079,457.8069919,7.219080318,2.3868
PIBO:2137,PIBO,45.646306,-115.865667,23597481,2003.78348,1114.991821,1.664751862,239.3604
PIBO:2166,PIBO,45.799417,-110.998194,3854725,2157.429209,2714.806836,11.37160617,1705.6791
PIBO:2167,PIBO,44.272261,-115.859225,24164169,1682.274341,2140.224561,10.75651752,6.3396
PIBO:2168,PIBO,46.101139,-114.283556,24320010,1526.476921,2132.953245,3.731969338,1.6524
PIBO:2177,PIBO,45.686833,-115.701361,23597595,1879.080882,532.4241771,0.357974833,26.811
PIBO:2187,PIBO,46.849806,-109.413694,12380295,1701.885961,2467.060717,8.488566691,2.2311
PIBO:2192,PIBO,45.154861,-110.339694,2962342,2646.474072,1650.74067,5.832036766,14.3109
