SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
WCAP99-1028,10.35,0.12,0,0.062,0.197,0.64,0.326,-38.3,38.1,50.4,0,0.1349,1.4821,0.3273,99.3,3.5356,2625,0.4746,0,0,0.1386,26,N,27373,475.7,149,REF,34.74721,-119.71562
WCAP99-1035,8.87,0.13,0,0.062,0.199,0.644,0.328,-34.8,39,49.7,-10,0.1312,1.4863,0.32,99.6,3.514,2916,0.7476,0,0,0.1732,26,N,28253.5,443,150,REF,34.73287,-119.67637
WCAP99-1050,2.94,0.15,0,0.035,0.295,0.268,0.216,1.4,90.9,62.1,-16,0.1,1.39,0.2,0,6.4216,2956,0.3299,0.0326,15311,0.0727,34,N,132477.5,1877.6,176,REF,39.71181,-122.8409
WCAP99-1055,5.3,0.16,0,0.032,0.084,0.279,0.14,-26,101,61,-34,0.07,1.4484,0.2021,0,6.6331,2756,0.5244,0.0449,0,0.2819,32,N,156834,614.9,192,REF,40.90353,-123.01368
WCAP99-1056,2.91,0.13,0,0.034,0.208,0.279,0.189,-32.6,92.4,61.6,-10,0.0857,1.3934,0.1591,45.4,7.5912,3261,0.4017,0.0625,0,0.044,2178,N,161227.8,254.1,192,REF,40.29079,-123.45477
WCAP99-1063,3.13,0.15,0,0.035,0.229,0.277,0.195,30,110,68,27,0.08,1.47,0.2,0,9.7873,4607,0.9022,0.0615,0,0.0701,49,N,215582.7,34.9,253,REF,#N/A,#N/A
WCAP99-1065,7.87,0.25,0,0.034,0.322,0.249,0.217,-8,98,62,-3,0.0823,1.5785,0.1538,0,6.6407,2923,0.7742,0.046,0,0.1476,38,N,143087.5,1779.3,178,REF,39.44159,-122.82022
WCAP99-1066,5.78,0.2,0,0.032,0.09,0.276,0.141,-40.8,133.9,62.5,-1,0.1037,1.3758,0.2274,0,8.1351,3188,0.7655,0.0341,17262,0.1577,60,N,209108.1,441.3,198,REF,41.15445,-123.56903
WCAP99-1067,5.55,0.17,0,0.031,0.05,0.275,0.123,-52.6,84.6,67.7,-32,0.087,1.4021,0.1759,4.9,6.785,2940,0.5346,0.0435,24164,0.1206,35,N,72878,408,191,REF,41.3289,-122.84332
WCAP99-1074,3.36,0.13,0,0.034,0.164,0.281,0.173,-6.5,87.7,65.8,24,0.1128,1.3603,0.28,12,9.2198,3546,0.2727,0.0532,2086,0.1123,61,N,151643.4,207.1,212,REF,40.59509,-123.91843
